CU,clock,Cycles,IPC,IPC_delta,CPI,CPI_delta,Frequency,Voltage,EDP,ED2P,Sensitivity
1,11913119000000,43000,0.0357209,0.073,27.9948,13.6986,1000000000,0.8,58400000.0,4263200.0,73.0
1,11913120000000,44000,0.0362727,0.06,27.5689,16.6667,1000000000,0.8,48000000.0,2880000.0,60.0
1,11913121000000,48000,0.0343333,0.013,29.1262,76.9231,4000000000,1.0,52000000.0,676000.0,13.0
1,11913122000000,49000,0.0336327,0.0,29.733,0.0,1000000000,0.8,0.0,0.0,0.0
1,11913123000000,50000,0.03406,0.055,29.36,18.1818,1000000000,0.8,44000000.0,2420000.0,55.0
1,11913124000000,54000,0.0319074,0.005,31.3407,200.0,4000000000,1.0,20000000.0,100000.0,5.0
1,11913125000000,55000,0.0321455,0.045,31.1086,22.2222,1000000000,0.8,36000000.0,1620000.0,45.0
1,11913126000000,59000,0.0303051,0.005,32.9978,200.0,4000000000,1.0,20000000.0,100000.0,5.0
1,11913127000000,63000,0.029,0.00975,34.4828,102.564,4000000000,1.0,39000000.0,380250.0,9.75
1,11913128000000,67000,0.0282836,0.017,35.3562,58.8235,4000000000,1.0,68000000.0,1156000.0,17.0
1,11913129000000,71000,0.0269155,0.004,37.1533,250.0,4000000000,1.0,16000000.0,64000.0,4.0
1,11913130000000,75000,0.02616,0.01275,38.2263,78.4314,4000000000,1.0,51000000.0,650250.0,12.75
1,11913131000000,76940,0.0260463,0.0216495,38.3932,46.1905,4000000000,1.0,86597900.0,1874800.0,10.5
1,11913132000000,76940,0.0260463,,38.3932,0.0,4000000000,1.0,,,0.0
2,11913101000000,1000,0.016,0.016,62.5,62.5,1000000000,0.8,12800000.0,204800.0,16.0
2,11913102000000,2000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
2,11913103000000,3000,0.0213333,0.016,46.875,62.5,1000000000,0.8,12800000.0,204800.0,16.0
2,11913104000000,4000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
2,11913105000000,5000,0.0224,0.016,44.6429,62.5,1000000000,0.8,12800000.0,204800.0,16.0
2,11913106000000,6000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
2,11913107000000,7000,0.0228571,0.016,43.75,62.5,1000000000,0.8,12800000.0,204800.0,16.0
2,11913108000000,8000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
2,11913109000000,9000,0.0226667,0.012,44.1176,83.3333,1000000000,0.8,9600000.0,115200.0,12.0
2,11913110000000,13000,0.0249231,0.03,40.1235,33.3333,4000000000,1.0,120000000.0,3600000.0,30.0
2,11913111000000,17000,0.0197647,0.003,50.5952,333.333,4000000000,1.0,12000000.0,36000.0,3.0
2,11913112000000,18000,0.0253333,0.12,39.4737,8.33333,1000000000,0.8,96000000.0,11520000.0,120.0
2,11913113000000,22000,0.0212727,0.003,47.0085,333.333,4000000000,1.0,12000000.0,36000.0,3.0
2,11913114000000,26000,0.0242308,0.0405,41.2698,24.6914,4000000000,1.0,162000000.0,6561000.0,40.5
2,11913115000000,30000,0.0321667,0.08375,31.0881,11.9403,4000000000,1.0,335000000.0,28056200.0,83.75
2,11913116000000,34000,0.0402353,0.10075,24.8538,9.92556,4000000000,1.0,403000000.0,40602200.0,100.75
2,11913117000000,38000,0.0380789,0.01975,26.2612,50.6329,4000000000,1.0,79000000.0,1560250.0,19.75
2,11913118000000,42000,0.0348333,0.004,28.7081,250.0,4000000000,1.0,16000000.0,64000.0,4.0
2,11913119000000,43000,0.0357209,0.073,27.9948,13.6986,1000000000,0.8,58400000.0,4263200.0,73.0
2,11913120000000,44000,0.0362727,0.06,27.5689,16.6667,1000000000,0.8,48000000.0,2880000.0,60.0
2,11913121000000,48000,0.0343333,0.013,29.1262,76.9231,4000000000,1.0,52000000.0,676000.0,13.0
2,11913122000000,49000,0.0336327,0.0,29.733,0.0,1000000000,0.8,0.0,0.0,0.0
2,11913123000000,50000,0.03406,0.055,29.36,18.1818,1000000000,0.8,44000000.0,2420000.0,55.0
2,11913124000000,54000,0.0319074,0.005,31.3407,200.0,4000000000,1.0,20000000.0,100000.0,5.0
2,11913125000000,55000,0.0321455,0.045,31.1086,22.2222,1000000000,0.8,36000000.0,1620000.0,45.0
